best fitness,particula,tiempo,evals
0.0037256816045347983,"[0.7680990487527626, 0.13112146252500828, 0.15421348569209425, 0.13659884321652405, 1.3426329138975048, 0.8206061946697465, 0.046409216811698906, 0.31381401389396857, 0.9446073638752248, 0.8210544450521237]",2470.50030708313,50
0.006546910103396995,"[0.7772594168318216, 0.5166296502837351, 0.5558956577985961, 0.7015708717472013, 0.2929888331596181, 0.28635842179227566, 0.2826502631393226, 0.519901134394152, 0.6908040269690945, 0.06540354854891411]",5200.199198007584,50
0.005352983571381718,"[0.8473718469699221, 0.6408477194090472, 0.5922516909485576, 0.23161199223251983, 0.9428515910261294, 0.5015583166666876, 0.5977000062252151, 0.7414639625209335, 0.547379305345899, 0.6056328764247415]",7926.789666175842,50
0.010260341881253738,"[0.9160366597281653, 0.2776442530030264, 0.4415749290985154, 0.5079451768542278, 0.2567797130111704, 0.05188593076473963, 0.44821453854696414, 0.6881606377895253, -0.3064264648258828, 0.5254077099546991]",10966.795418262482,50
0.002765789327440454,"[1.0483882101568625, 0.9525222163813831, 0.9575914528234886, 0.3901761678702246, 0.6849472958294911, 0.3919870913787215, -0.11767744933758009, 0.3643609295669842, 0.6271375893006434, 1.0378678666738514]",14323.3862490654,50
0.008341918308546466,"[0.8204973556508821, 0.5455089285324268, 0.5988465195985502, 0.29411706026214013, 0.7615726472021076, 0.5035417283911807, 0.49080661540255893, 0.6703485638334205, 0.26429011584895157, 0.5856020756197602]",17100.61632013321,50
0.007332306480290071,"[0.9946632310812693, 0.5565753390974101, 0.5258045084100841, 0.23321533870508906, 0.2632380853927384, 0.6690545839638773, 0.6864805357772019, 0.8344338034285227, 0.8184351378482977, -0.02934823750398613]",19771.325866937637,50
0.00565919428384228,"[0.8742188898679402, 0.4639710094395465, 0.4223090601900754, 0.5295891540415121, 0.7576859997946165, 0.35310476716859795, 0.5463058392806355, 0.7149033691542273, 0.8936404296525371, 0.6540547729435835]",22502.112283229828,50
0.003518986495803473,"[0.9052227705028982, 0.7520980828179606, 0.7629839894846857, 0.8118605830152504, 0.22127600789917734, 0.31316616488718685, 0.22315198455959284, 0.4502287550769907, 0.7223054540938614, 0.42056955466739854]",48990.820533037186,50
0.009396761546818328,"[0.5839266532086251, 0.5270891649414324, 0.5516813858041502, 0.5688357335298663, 0.7021604948871395, 0.26057554730060384, 0.3544190864910786, 0.590024066596599, 0.3492244420880084, 0.29690199489626135]",51977.26665902138,50
0.009565911139899096,"[0.645988456907548, 0.4263671083847814, 0.5464194830218526, 0.4316921383928063, 0.48489372257782587, 0.7331676267103633, 0.2659552425615378, 0.5241912745391676, -0.06279915819903736, 0.7630891874056716]",55033.225044965744,50
0.006502072877240847,"[0.9983927125603167, 0.7152228043597516, 0.8296581473184117, 0.5742651981242026, 1.2878562788383843, 0.7349978256859117, 0.24251651889439507, 0.4902937599113557, 0.7005398728414508, 0.8336191245916331]",57765.54352116585,50
0.004818023061776029,"[0.8854073555218597, 0.4705504961984832, 0.44980529810324055, 0.4204488341783808, 0.4200897209141561, 1.0044397202497026, 0.21428045467678353, 0.45023564515693915, 0.22319176665576412, 0.39119664012105615]",60436.23395609856,50
0.0015806306258951605,"[0.7895321425599207, 0.486514381925796, 0.43022274249683146, 0.6975676982390971, 0.8879391004878989, 0.9609521360233566, -0.13154647245644002, 0.367185601048029, 0.6047960207170928, 0.7793810182327733]",63171.80146408081,50
0.0054935759402512385,"[0.9067343210699368, 0.4194097768908108, 0.4125400652088673, 0.23794668993996437, -0.2426909831897788, 0.6155024310333129, 0.3395313060272474, 0.5585788671445286, 0.7634915507449775, 0.1915744665203456]",66005.10749220848,50
