best fitness,particula,tiempo,evals
0.008018093274246385,"[0.8584159312208002, -0.0463291127387323, 0.061284601206443856, 0.31939568726876477, 0.23651173580690787, 0.8147928971644977, 0.36663312931912184, 0.6176045369913161, 0.8678611754766435, 0.9418020992624229]",2160.6310002803802,1050
best fitness,particula,tiempo,evals
0.008464782624685117,"[0.7506944816038289, 0.4118478258446472, 0.595564292337231, 0.619598581447084, 0.5115010872769447, 0.7187487237518875, 0.37610972624831823, 0.6235564186121217, 0.9026198840504853, 0.33103593089475614]",2348.6640117168427,1050
best fitness,particula,tiempo,evals
0.008018093274246385,"[0.8584159312208002, -0.0463291127387323, 0.061284601206443856, 0.31939568726876477, 0.23651173580690787, 0.8147928971644977, 0.36663312931912184, 0.6176045369913161, 0.8678611754766435, 0.9418020992624229]",2160.6310002803802,1050
0.0032236424543570113,"[0.7895210042317865, -0.25946430040849155, 0.32156128930653105, 0.9382193592288214, 0.5642844160691681, 0.9256508225014826, 0.002049119559377033, 0.2791463891261211, -0.10516916839024015, 0.6714380773850702]",4717.844734668732,1050
best fitness,particula,tiempo,evals
0.008464782624685117,"[0.7506944816038289, 0.4118478258446472, 0.595564292337231, 0.619598581447084, 0.5115010872769447, 0.7187487237518875, 0.37610972624831823, 0.6235564186121217, 0.9026198840504853, 0.33103593089475614]",2348.6640117168427,1050
0.007463421664160193,"[0.7911461699736564, 0.21065186857570406, 0.30316051122453397, 0.5730146155307965, 0.3492599744045364, 0.5356362013981346, 0.36794686553656475, 0.6126640559821327, 0.29276524147307287, 0.45537963455243746]",4535.409569978714,1050
