Best,Time,Evals,Best_solution
0.004168909514438721,718.5803496837616,802,"[[0.7352172478345915, 0.7653632509695586, 0.5700492317413183, 1.0145076114994267, 0.3376213475066183, 0.07129128403016122, 0.030803573019540748, 0.27669091119973266, 0.9858637193860809, 0.7981736579690365]]"
0.01124336611456631,631.1554577350616,810,"[[0.21065373414152344, 0.5269752748950352, 0.8569319041485988, 0.2612565421089138, -0.2735439482530782, 0.09138249635125262, 0.03813291510082828, 0.37120556400146465, 0.0074212004298644385, 0.4573561914215464]]"
0.42079686669177296,751.7975573539734,808,"[[1.2869641511995822, -0.006712018878727223, 0.5879658274751381, 0.8076934077292817, 0.09646186562511781, -0.052245851761107395, 0.997304550106389, 0.5385545831572498, -0.254347180450893, 0.06965091605878893]]"
0.007436153349800326,624.1833350658417,805,"[[0.5830521504408173, 0.40372173516606236, 0.5465022448486987, 0.935364259412709, 0.1517083963272241, 0.8978754882897375, 0.1286394372182441, 0.42446155412094366, 0.4546314094113912, 0.36027458397941114]]"
0.009268352495628638,618.6043767929077,794,"[[0.8503394168743249, 0.11230579708941885, 0.1932154953807087, 0.6086793624939086, 0.5106020716122492, 0.96727866890132, 0.7004937610676639, 0.9176473130530703, 0.9812835998280628, 0.4000761065260101]]"
0.003069038201849667,665.9089767932892,816,"[[0.694294851562765, 0.5021986328174125, 0.5503204873070402, 0.810029607959877, 0.19069901602838246, 0.4457534332961821, 0.13868994025495984, 0.39250283675956676, 0.6212387886361377, 0.8084451904405974]]"
0.0049675929453830096,678.152090549469,820,"[[0.10599539170373404, 0.3130277644084666, 0.43253743781959764, 0.09922119628263891, 0.8252616983982148, 0.10530311595441084, 0.867085300822023, 1.0415138737648177, 0.31935228807125526, -0.32006924951164845]]"
0.004228612643444473,630.0383293628693,803,"[[0.8818848982029329, 0.7379396768975477, 0.7258512190239887, 0.5009198115654594, 0.5228979275884074, 0.49019507503504844, 0.6832743908726389, 0.8268300054076115, 0.21719488880673074, 0.13966380883743867]]"
0.008577517381491765,637.2301824092865,813,"[[0.6413570021483638, -0.18391304546685255, 0.13344496516051385, -0.41046210211999234, -0.07701089333023534, 1.384077460470449, 0.21777451812296666, 0.44983802363935654, 0.3697192342741525, 1.02650774952345]]"
0.0131243991480943,618.7024948596954,815,"[[0.904473925205566, 0.06514337865276998, 0.3820187324629696, 0.669253671199287, 0.10767184141818487, 0.8817938222773238, 0.10290389161654345, 0.45300527133808066, 0.9810011351143466, 0.44402898340494434]]"
0.015497807829525964,641.7397146224976,833,"[[0.8551386688845065, 0.01842895336973819, 0.3345942667598351, 0.7415064870104784, 0.3884346844071406, 0.25826814513365237, 0.22320340837478292, 0.5852383303536577, -0.10594774403542337, 0.42057205145503035]]"
0.0006765479278736541,589.738184928894,804,"[[0.9138348214760559, 0.7795355455660611, 0.6263238396126122, 0.1833518550794404, 0.9889695810272094, 0.36212637272203946, 0.07367085357870862, 0.3171646013336108, 0.708979350424621, 0.551215269830756]]"
0.008241464021333673,667.6636037826538,833,"[[0.7568278922890482, 0.17002865251510038, 0.3632922074339232, 0.758074045649965, 0.2673786431575321, 0.25921435600084414, 0.18347583517185018, 0.4996821448631721, 1.0695900021021145, 0.12081011332721492]]"
0.00428165172648963,631.2167620658875,818,"[[0.8337546498919179, 0.5101829138840828, 0.5396356031589244, 0.2827075060029477, 0.4107959932543286, 0.10376120622987148, 0.4486316979190435, 0.653787801553637, 0.49845372048094433, 0.5840616856959994]]"
0.004495716965351282,606.9893279075623,769,"[[0.20884015835317182, 0.4937793133921553, 0.5656147327691402, 0.8537412451470581, 0.22425969416210445, 0.907065911631848, 0.23904487465709787, 0.498771438002404, 0.933928595028187, 1.0403064183405044]]"
