best fitness,solution,time,evals
5000.0,"[0.41875939662079875, 0.16434959493905932, 0.34519934295444177, 0.3162281527852092, 0.9597362294785696, 0.01131794954642873, 0.48074498535569476, 0.8477133776057352, 0.5886577077624026, 0.5812629294673604]",2.6944191455841064,50
best fitness,solution,time,evals
2000.0,"[0.18610533467676327, -0.04725808840411988, 0.6952141200994993, 0.6730396049445915, 0.6809982396987819, 0.7456683295100262, 0.4597559322504371, 0.2556595179187544, 0.9555668404794707, 0.1844138601058005, 0.2533364851921017, 0.0649663801650657, 0.25322111090575333, 0.7458136494274814, 0.8508663553022089]",24.47325110435486,5
best fitness,solution,time,evals
0.010410975368516125,"[0.9119400403919495, 0.3290655125041244, 0.3551830166727431, 0.2086744100772146, 0.27430185032119897, 0.6520120078675867, 0.27805166738696546, 0.5314976468469479, -0.0905430091104023, 0.6259138299170419, 0.4324392082391073, 0.6391394715929396, 1.0458831343667403, 0.5103998493168836, 0.19309304898671162]",53.23279047012329,5
best fitness,solution,time,evals
0.9569718306034645,"[0.8143783652561133, 0.05055255333160835, 0.42473099903953115, 0.14532727635753984, 0.9678561106247469, 0.7140823008803966, 0.05703340467714835, 0.9279705458130475, 0.7641362670010725, 0.15151973920048178, 0.6631578568645627, 0.9397068427033424, 0.08776973437758917, 0.42509974891018243, 0.043721099595633306]",63.014620780944824,5
best fitness,solution,time,evals
0.4753018665233082,"[0.4396179652890221, 0.46282325878586716, 0.5797345147300318, 1.0477886778489887, 0.11998055014527043, 0.6399726485971277, 0.4700402531829301, 0.7343039099162848, 0.8558152087408111, 0.38178793315029336, 0.6986708552559143, -0.1189377844324471, 0.9821591615258406, 0.4584685082084349, 0.725580063819299]",57.87255334854126,5
best fitness,solution,time,evals
0.01417795705216092,"[0.8219196562835978, 0.5393035324842179, 0.6031704504179836, 0.5176248499206944, 0.5094367754460968, 0.21190113809579175, 0.8167525447997827, 0.9922111615986573, 0.4550687303928471, 1.0452035536141782, 0.8211245460339088, 1.1447600740964308, 0.5757879336225247, 0.4780591966444193, 0.7320948778427298]",134.080659866333,5
best fitness,solution,time,evals
0.008955899265240852,"[0.7216788677985818, 0.271019852162731, 0.41245626871945673, 0.7593897411728241, 0.7390438020026711, 0.3814001076769292, 0.34134724717360876, 0.5902092762949124, 0.5449876285866924, 0.8791666913778694, 0.4014010749580963, 0.5396253660720995, 0.8484146033155002, 0.4668261968850683, 0.11066420454350179]",329.1302824020386,10
